,Title,Content,Excerpt,,,,,,,,course,cuisine,ingredient,,,,,,,,,wprm_course,wprm_cuisine,,,,,wprm_ingredient,,,instructions,wprm_notes,,,,,,,,,,,,,,,,,,,,,,,,,Courses,Cuisines,,Ingredients,Ingredient Units,,,,Images Filename,,,,,,,,,,,,,,,,,,,,,Slug
,Coconut Oil and Aloe Vera Hair Mask,A soothing mask for scalp health. This coconut oil and aloe vera hair mask soothes the scalp and promotes healthy hair growth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harvest aloe gel directly into coconut shell → Whip coconut oil into gel using figure-8 motion → Add fenugreek and essential oils last → Apply using three-zone technique: → Scalp: Part hair 1cm apart with tint brush → Lengths: Use praying hands application → Ends: Dip-wrap in leftover mixture → Cover with silk wrap (25-30 minutes) → Rinse with cold hibiscus tea rinse → Finish with ice globe massage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120ml fresh aloe gel,15g fenugreek powder,45ml coconut oil,Coconut shell + bamboo spatula,Ice globes","cup,tbsp",,,,Coconut-Oil-and-Greek-Yogurt-Mask-3.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-aloe-vera-hair-mask
,Coconut Oil and Egg Hair Mask,"A protein-rich mask for strengthening hair. This coconut oil and egg hair mask strengthens hair with protein, reducing breakage and enhancing shine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whisk eggs in coconut bowl until frothy (2 mins) → Melt coconut oil separately (40°C maximum) → Combine ingredients using folding technique → Apply to damp hair in three phases: → Phase 1: Scalp massage with egg mixture → Phase 2: Mid-lengths with coconut oil focus → Phase 3: Ends sealed with honey layer → Process under thermal cap (20-25 minutes) → Rinse with cool water (never hot!) → Final cleanse with mild shampoo bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15ml raw honey,45ml coconut oil,Coconut shell + bamboo whisk,large eggs,Thermal hair cap",tbsp,,,,Coconut-Oil-and-Egg-Hair-Mask-4.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-egg-hair-mask
,Coconut Oil and Cocoa Powder Hair Mask,A hydrating mask with a chocolatey aroma. This coconut oil and cocoa powder hair mask hydrates and adds a delicious scent to your hair.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melt coconut oil in coconut shell (45°C water bath) → Gradually whisk in cacao powder until lump-free → Add ACV last to preserve acidity → Apply to dry hair using quadrant method: → Divide hair into 4 sections → Use brush to coat from roots to ends → Focus on sun-exposed areas for color protection → Wrap in thermal cap (30-45 minutes) → Rinse with cold water followed by herbal rinse → Air dry away from direct sunlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30ml raw apple cider vinegar,60g raw cacao powder,60ml coconut oil,Coconut shell + bamboo whisk,Plastic-free hair clips","cup,tbsp",,,,Coconut-Oil-and-Cocoa-Powder-Hair-Mask-1.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-cocoa-powder-hair-mask
,Coconut Oil and Oatmeal Hair Mask,A gentle mask for sensitive scalps. This coconut oil and oatmeal hair mask is gentle on the scalp and helps soothe irritation while moisturizing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grind oats into fine powder using coconut bowl → Melt coconut oil in separate container (40°C max) → Whisk oat powder with aloe vera to form base gel → Slowly emulsify coconut oil into mixture → Apply to dry scalp using tint brush: → Section hair into 1-inch partings → Apply directly to scalp surface → Gently massage with silicone scalp massager → Cover with shower cap + warm towel (20-30 mins) → Rinse with cool water followed by sulfate-free shampoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30g colloidal oatmeal,30ml aloe vera gel,45ml coconut oil,Coconut bowl + bamboo whisk,Scalp applicator brush","cup,tbsp",,,,Coconut-Oil-and-Oatmeal-Mask-4.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-oatmeal-hair-mask
,Coconut Oil and Honey Hair Mask,"A brightening mask for all hair types. This coconut oil and honey hair mask brightens and nourishes all hair types, leaving them healthy and radiant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melt coconut oil in coconut bowl over warm water → Whisk in honey until emulsified (1:1 ratio) → Section dry hair and apply from mid-lengths to ends → Wrap hair in shower cap + warm towel turban → Process 30 minutes (or overnight for deep treatment) → Rinse with cool water followed by mild shampoo → Finish with cold water rinse for shine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30ml raw honey,45ml coconut oil,Coconut bowl + bamboo brush,Warm towel,Wide-tooth comb",tbsp,,,,Coconut-Oil-and-Clay-Mask-1.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-honey-hair-mask
,Coconut Oil and Shea Butter Hair Mask,A deeply moisturizing mask for dry hair. This coconut oil and shea butter hair mask provides intense moisture for dry and coarse hair.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melt shea butter in coconut shell over steam bath → Remove from heat - whip with coconut oil until creamy → Cool to 45°C before adding essential oils → Apply to sectioned hair using 3-step process: → Roots: Scalp massage with fingertips → Mid-lengths: Rake-through technique → Ends: Sealing with → Cover with silk bonnet - process 30-45 minutes → Rinse with lukewarm water followed by ACV rinse → Air dry or use microfiber towel wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120g raw shea butter,15ml argan oil,45ml coconut oil,Coconut shell + wooden spatula,Thermal cap or warm towel","cup,tbsp",,,,Coconut-Oil-and-Oatmeal-Mask-2.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-shea-butter-hair-mask
,Coconut Oil and Rosemary Hair Mask,A stimulating mask for hair growth. This coconut oil and rosemary hair mask stimulates hair growth and adds shine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warm coconut oil in shell over double boiler (3 mins) → Remove from heat - mix in castor oil and aloe vera → Cool to 40°C before adding rosemary essential oil → Section hair - apply using dropper along part lines → Massage scalp 5 mins with ceramic tool → Wrap hair in warm microfiber towel (20-30 mins) → Rinse with cool water - no shampoo needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15ml cold-pressed castor oil,60ml fractionated coconut oil,Coconut bowl + dropper bottle,drops rosemary EO,Scalp massager tool","cup,tbsp",,,,Coconut-Oil-and-Rosemary-Hair-Mask-2.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-rosemary-hair-mask
,Basic Coconut Oil Moisturizer,"A simple yet effective moisturizer for all skin types. This basic coconut oil moisturizer is perfect for daily use, leaving your skin soft and hydrated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warm oil in palms (body heat only) → Massage into skin like beach waves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clean glass jar,Organic virgin coconut oil",,,,,coconut-oil-uses-hair-6.png,,,,,,,,,,,,,,,,,,,,,basic-coconut-oil-moisturizer
,Coconut Oil and Shea Butter Cream,"A rich cream that deeply hydrates dry skin. This coconut oil and shea butter cream is perfect for extra dry areas like elbows and knees.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combine ingredients in double boiler (65°C max) → Stir until homogeneous (2-3 min) → Refrigerate until semi-solid (1-2 hrs) → Beat with electric mixer to fluffy texture → Keep in airtight container (6mo shelf life),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'- 1 tsp Vitamin E Oil,- ½ cup",,,,,coconut-spoon-oil-2.png,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-shea-butter-cream
,Coconut Oil and Aloe Vera Moisturizer,A lightweight moisturizer that soothes and hydrates skin. This coconut oil and aloe vera moisturizer is perfect for sensitive or sunburned skin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oil phase: Melt coconut oil (40°C) → Water phase: Whip aloe gel with glycerin → Combine phases using coconut shell spatula → Antioxidants → Humectants → Essential oils → Store in blue glass (blocks 450nm light),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aloe vera gel,coconut oil,Essential oil",cup,,,,Coconut-Oil-and-Aloe-Vera-Moisturizer.png,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-aloe-vera-moisturizer
,Coconut Oil and Jojoba Oil Blend,A nourishing blend that mimics skin's natural oils. This coconut oil and jojoba oil blend is great for balancing oily skin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charge coconut bowl with desert quartz overnight → Combine oils during morning's golden hour light → Stir with agate wand using infinity symbols → Add sage extract while visualizing canyon winds → Finish with palo santo - cleanse space three times → Age blend in moonlight for three nights → Transfer using copper funnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconut bowl + agate stirrer,cold-pressed jojoba oil,desert sage extract,drops palo santo essential oil,Fractionated coconut oil,Recycled glass roller bottle","cup,tbsp,tsp",,,,Coconut-Oil-and-Rosehip-Oil-Moisturizer-1.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-jojoba-oil-blend
,Coconut Oil and Vitamin E Moisturizer,A powerful moisturizer that helps repair and protect skin. This coconut oil and vitamin E moisturizer is perfect for aging skin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Place coconut bowl in warm water bath (40°C) → Add coconut oil to bowl - watch it melt into liquid gold → Pierce vitamin E capsules and squeeze contents into oil → Stir clockwise 7 times with bamboo stick → Add jojoba oil while whispering self-love affirmations → Finish with lavender oil - inhale deeply 3 times → Pour into amber jar while still warm → Seal with intention for radiant skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amber glass jar,Coconut bowl + bamboo stirrer,drops lavender essential oil,Jojoba oil,virgin coconut oil,vitamin E capsules","cup,tbsp",,,,Coconut-Oil-and-Greek-Yogurt-Mask-3.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-vitamin-e-moisturizer
,Coconut Oil and Coffee Scrub Moisturizer,A dual-purpose scrub and moisturizer that energizes skin. This coconut oil coffee scrub moisturizer is perfect for exfoliating and hydrating at the same time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collect morning coffee grounds - still warm with energy → Mix with coconut oil in bowl using sunwise motions → Add sugar while setting daily intentions → Blend in essential oils during first birdsong → Stir until texture resembles → Store in pouch hung near morning light → Bless with three deep coffee-scented breaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconut bowl + bamboo spatula,cold-pressed coconut oil,drops orange essential oil,raw sugar,Reusable linen storage pouch,used coffee grounds","cup,tbsp",,,,Coconut-Oil-and-Coffee-Mask-1.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-coffee-scrub-moisturizer
,Coconut Oil and Honey Moisturizer,A deeply moisturizing treatment that softens skin. This coconut oil and honey moisturizer is great for dry skin and adds a touch of sweetness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warm coconut bowl in sunlight for 10 minutes → Layer ingredients like sun rays - oil first, then honey → Stir clockwise 21 times with intention-setting → Add royal jelly during golden hour light → Whisk until achieving → Store in jar wrapped in silk cloth → Bless with gratitude before first use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amber apothecary jar,Coconut bowl + wooden dipper,drops chamomile oil,manuka honey,raw coconut oil,royal jelly","cup,tbsp,tsp",,,,Coconut-Oil-and-Clay-Mask-1.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-honey-moisturizer
,Coconut Oil and Lavender Moisturizer,A calming moisturizer that soothes and relaxes. This coconut oil and lavender moisturizer is perfect for nighttime use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Place amethyst in coconut bowl under stars → Melt coconut oil using candle warmth (45°C max) → Whisk in almond oil using counter-clockwise motions → Add lavender oil while visualizing peaceful scenes → Charge mixture with amethyst for 11 minutes → Pour into moon jar using silver spoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ceramic moon jar,Coconut bowl + amethyst crystal,drops lavender essential oil,Sweet almond oil,virgin coconut oil,Vitamin E oil","cup,tbsp,tsp",,,,Coconut-Oil-and-Lavender-Moisturizer-1.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-lavender-moisturizer
,Coconut Oil and Rosehip Oil Moisturizer,A rejuvenating blend that helps improve skin texture. This coconut oil and rosehip oil moisturizer is ideal for mature skin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Place rose quartz in coconut bowl under moonlight → Melt coconut oil using candle warmth (never microwave) → Whisk in rosehip oil using figure-eight motions → Add jojoba oil while reciting self-love mantras → Finish with chamomile oil - breathe deeply 3 times → Charge mixture with rose quartz overnight → Transfer at dawn using intention-infused funnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconut bowl + rose quartz stirrer,cold-pressed rosehip oil,drops chamomile essential oil,vanilla-infused jojoba oil,Violet glass dropper bottle,virgin coconut oil","cup,tbsp,tsp",,,,Coconut-Oil-and-Rosehip-Oil-Moisturizer-2.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-rosehip-oil-moisturizer
,Coconut Oil and Citrus Moisturizer,A refreshing moisturizer that uplifts and energizes. This coconut oil and citrus moisturizer is perfect for a morning pick-me-up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Place coconut bowl in morning sunlight for 5 minutes → Add coconut oil - let it soften naturally → Zest orange directly into bowl (clockwise motion) → Whisk in grapeseed oil using bamboo tools → Add essential oils while reciting daily intentions → Stir until mixture smells like → Transfer to jar using citrus-colored funnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconut bowl + wooden zester,drops sweet orange essential oil,grapeseed oil,Recycled glass jar,virgin coconut oil,Zest of 1 organic orange","cup,tbsp",,,,Lemon-Air-Freshener-3.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-citrus-moisturizer
,Coconut Oil Avocado Mask,A creamy mask that deeply hydrates and nourishes skin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mash avocado in coconut bowl until creamy → Mix in coconut oil and honey thoroughly → Add essential oils last to preserve nutrients → Apply thick layer with avocado pit as applicator → Leave on 15-20 minutes (store mask in fridge) → Massage off with coconut oil-soaked cloth → Finish with cold jade roller session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilled coconut bowl,coconut oil,Cold jade roller,raw honey,ripe avocado","tbsp,tsp",,,,Coconut-Oil-Avocado-Mask-3.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-avocado-mask
,Coconut Oil and Oatmeal Mask,"A soothing mask that calms irritated skin. This coconut oil and oatmeal mask is perfect for sensitive skin, helping to reduce redness and inflammation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grind oats into fine powder (if using whole oats) → In coconut bowl, mix oat powder with coconut oil → Add coconut milk gradually to reach paste consistency → Test on jawline - wait 10 minutes → Apply using circular massage motions → Leave on 15 minutes or overnight as spot treatment → Remove with lukewarm water and soft cloth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15ml coconut milk,30ml coconut oil,45g colloidal oatmeal,Coconut bowl + wooden spoon,Muslin cloth",tbsp,,,,Coconut-Oil-and-Oatmeal-Mask-4.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-oatmeal-mask
,Coconut Oil and Turmeric Mask,"A brightening mask that helps even skin tone. This coconut oil turmeric mask is great for reducing dark spots and giving your skin a radiant glow.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mix turmeric and honey in coconut bowl until smooth → Gradually blend in coconut oil to form paste → Apply thin layer with brush (avoid eyebrows) → Let sit 15-20 minutes (no facial movements) → Remove with oil cleanser first, then water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15g manuka honey,30ml coconut oil,3g turmeric powder,Coconut bowl &amp; bamboo spoon,Dark-colored towel","tbsp,tsp",,,,Coconut-Oil-and-Turmeric-Mask-3.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-turmeric-mask
,Coconut Oil and Coffee Mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collect cooled coffee grounds from morning brew → In coconut bowl, mix grounds with coconut oil → Add coconut sugar if using for extra exfoliation → Stir with bamboo spoon until paste forms → Test on elbow before full application → Massage onto damp skin using circular motions → Rinse with warm water, pat dry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bamboo spoon,Coconut half-shell bowl,coconut oil,Coffee grounds",tbsp,,,,Coconut-Oil-and-Coffee-Mask-1.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-coffee-mask
,Coconut Oil and Aloe Vera Mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gently melt coconut oil if solid (low heat/double boiler) → Whisk aloe gel into warm oil until emulsified → Mix in honey and essential oils if using → Test on inner elbow - wait 15 minutes → Apply to clean face with brush or fingers → Leave on 15-20 minutes → Rinse with cool water,"<p>• Use within 3 days when fresh</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15ml fresh aloe vera gel,30ml coconut oil,5ml raw honey,Clean glass jar for storage,Double boiler","tbsp,tsp",,,,face-masks.jpeg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-aloe-vera-mask
,Coconut Oil and Lemon Mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combine melted coconut oil and honey in bowl → Whisk in lemon juice until emulsified → Test on wrist - wait 5 minutes → Apply thin layer to clean face → Relax 10-15 minutes → Rinse with lukewarm water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fresh lemon juice,raw honey,Small mixing bowl,virgin coconut oil","tbsp,tsp",,,,face-masks.png,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-lemon-mask
,Coconut Oil and Greek Yogurt Mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chill coconut bowl in refrigerator 30 minutes → In chilled bowl, whip yogurt and coconut oil → Gently fold in colloidal oatmeal → Add essential oils last to preserve cultures → Apply thick layer to clean face with brush → Relax 15 minutes (use cold compress if sensitive) → Rinse with cool herbal tea infusion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15ml coconut oil,30g Greek yogurt,Cold compress,Pre-chilled coconut bowl,Silicone mask brush",tbsp,,,,Coconut-Oil-and-Greek-Yogurt-Mask-1.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-greek-yogurt-mask
,Coconut Oil and Clay Mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitize coconut bowl with boiling water → Combine clay and ACV in bowl - mix with wooden spatula → Add melted coconut oil slowly while stirring → Mix to smooth paste consistency → Apply immediately with brush using upward strokes → Let dry 10-15 minutes (avoid facial movements) → Rinse with tepid water using circular motions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10ml coconut oil,15g bentonite clay,15ml apple cider vinegar,Coconut bowl set,Flat brush","tbsp,tsp",,,,Coconut-Oil-and-Clay-Mask-4.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-clay-mask
,Coconut Vanilla Candle,A sweet and creamy candle that fills your space with vanilla scent. This coconut vanilla candle is perfect for cozy evenings and creating a warm ambiance in your home.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melt wax with coconut oil (58°C) → Whip in vanilla oil until frothy → Sprinkle shredded coconut layers → Top with whole vanilla bean piece → Cure 72hrs - patience = perfection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"coconut-soy wax blend,organic shredded coconut,Upcycled glass jar + wood wick,vanilla + 10ml coconut oil","lb,ml,tbsp",,,,coconut-bowl-beeswax-candle-2.jpg,,,,,,,,,,,,,,,,,,,,,coconut-vanilla-candle
,Coconut Lime Candle,This coconut lime candle is perfect for summer days and brings a refreshing vibe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melt coconut wax in a double boiler. → Stir in lime oil. → Secure wicks in jars and pour wax. → Allow to cool.,"<p>A tropical candle that brightens your space.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Candle wicks,Coconut wax,Glass jars,Lime essential oil",,,,,Coconut-Lime-Candle-1.jpg,,,,,,,,,,,,,,,,,,,,,coconut-lime-candle
,Coconut Lavender Candle,A calming candle that soothes the senses. This coconut lavender candle is ideal for relaxation and creating a tranquil atmosphere.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melt wax with coconut oil (60°C) → Stir in oils clockwise 5x → Layer buds while pouring → Cure 48hrs - patience = paradise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"coconut-soy wax blend,dried lavender buds,lavender + 5ml coconut oil,Sea glass container + braided wick","lb,ml,tbsp",,,,Soy-Wax-Lavender-Candle-2.jpg,,,,,,,,,,,,,,,,,,,,,coconut-lavender-candle
,Coconut Coffee Candle,"This coconut coffee candle is perfect for coffee lovers and adds a warm, inviting scent to any room.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melt coconut oil and beeswax in a double boiler. → Stir in coffee fragrance. → Secure wicks in jars and pour wax. → Allow to cool.,"<p>A rich candle that awakens your senses.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beeswax,Candle wicks,coconut oil,Coffee fragrance oil,Glass jars",,,,,soy-wax-spiced-pumpkin-candles.jpg,,,,,,,,,,,,,,,,,,,,,coconut-coffee-candle
,Coconut Rose Candle,"This coconut rose candle is great for romantic evenings and creating a lovely atmosphere.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melt coconut oil and beeswax together. → Stir in rose oil. → Secure wicks in tins and pour wax. → Let cool and solidify.,"<p>A floral candle that fills your home with a sweet scent.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beeswax,Candle wicks,coconut oil,Metal tins,Rose essential oil",,,,,coconut-candles-3.png,,,,,,,,,,,,,,,,,,,,,coconut-rose-candle
,Coconut Citrus Candle,"This coconut citrus candle is ideal for energizing your space and lifting your mood.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melt coconut oil and beeswax in a double boiler. → Stir in orange and lemon oils. → Secure wicks in jars and pour wax. → Allow to cool.,"<p>A zesty candle that refreshes any room.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beeswax,Candle wicks,coconut oil,Glass jars,Lemon essential oil,Orange essential oil",,,,,Eucalyptus-Candle-4.jpg,,,,,,,,,,,,,,,,,,,,,coconut-citrus-candle
,Coconut Spice Candle,"This coconut spice candle fills your home with the comforting scents of autumn.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melt coconut oil and beeswax together. → Stir in cinnamon and nutmeg oils. → Secure wicks in tins and pour wax. → Let cool and solidify.,"<p>A warm and cozy candle perfect for fall.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beeswax,Candle wicks,Cinnamon essential oil,coconut oil,Metal tins,Nutmeg essential oil",,,,,soy-wax-candle-in-a-coconut-bowl-2.jpg,,,,,,,,,,,,,,,,,,,,,coconut-spice-candle
,Coconut Mint Candle,"This coconut mint candle is perfect for a refreshing atmosphere, great for any room.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melt coconut oil and beeswax in a double boiler. → Stir in peppermint oil. → Secure wicks in jars and pour wax. → Allow to cool.,"<p>A refreshing candle that invigorates the senses.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beeswax,Candle wicks,coconut oil,Glass jars,Peppermint essential oil",,,,,Eucalyptus-Candle-3.jpg,,,,,,,,,,,,,,,,,,,,,coconut-mint-candle
,Coconut Almond Candle,"This coconut almond candle is perfect for adding a touch of warmth to your space.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melt coconut oil and beeswax together. → Stir in almond oil. → Secure wicks in tins and pour wax. → Let cool and solidify.,"<p>A sweet and nutty candle for soft lighting.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Almond essential oil,Beeswax,Candle wicks,coconut oil,Metal tins",,,,,soy-wax-candle-3.jpg,,,,,,,,,,,,,,,,,,,,,coconut-almond-candle
,Coconut Herbal Candle,"This coconut herbal candle is great for relaxation and unwinding after a long day.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melt coconut oil and beeswax in a double boiler. → Stir in chamomile oil. → Secure wicks in jars and pour wax. → Allow to cool.,"<p>A calming candle that soothes the mind.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beeswax,Candle wicks,Chamomile essential oil,coconut oil,Glass jars",,,,,candle1-mfrh-original-scaled.jpeg,,,,,,,,,,,,,,,,,,,,,coconut-herbal-candle
,Basic Coconut Oil Shampoo Bar,"This basic coconut oil shampoo bar is perfect for all hair types and leaves your hair feeling soft and clean.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Measure lye and water separately. → Slowly add lye to water, stirring until dissolved. → In a separate bowl, melt coconut oil and olive oil. → Combine oils and lye solution, blend until trace. → Pour into molds and let cure for 4-6 weeks.","<p>A simple shampoo bar that cleanses and nourishes the hair.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"coconut oil,Distilled water,Essential oil,Lye,olive oil",,,,,Coconut-Bowl-Soap-Dish_-1.jpg,,,,,,,,,,,,,,,,,,,,,basic-coconut-oil-shampoo-bar
,Coconut Oil and Shea Butter Shampoo Bar,"This coconut oil and shea butter shampoo bar is ideal for dry or curly hair types.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Measure lye and water separately. → Mix lye into water until dissolved. → Melt coconut oil and shea butter together. → Combine lye solution with oils, blend until trace. → Pour into molds and cure for 4-6 weeks.","<p>A moisturizing shampoo bar that hydrates dry hair.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"coconut oil,Distilled water,Essential oil,Lye,Shea butter",,,,,Coconut-Bowl-Soap-Dish_-2.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-shea-butter-shampoo-bar
,Coconut Oil and Honey Shampoo Bar,"This coconut oil and honey shampoo bar is great for enhancing hair's natural luster.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Measure lye and water separately. → Slowly mix lye into water. → Melt coconut oil and olive oil together. → Combine oils and lye solution, add honey, blend until trace. → Pour into molds and cure for 4-6 weeks.","<p>A nourishing shampoo bar that adds shine to hair.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"coconut oil,Distilled water,honey,Lye,olive oil",,,,,Peppermint-Beard-Soap-2.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-honey-shampoo-bar
,Coconut Oil and Aloe Vera Shampoo Bar,"This coconut oil and aloe vera shampoo bar is perfect for sensitive scalps.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Measure lye and water separately. → Mix lye into water until dissolved. → Melt coconut oil. → Combine oils and lye solution, add aloe vera gel, blend until trace. → Pour into molds and cure for 4-6 weeks.","<p>A soothing shampoo bar that calms the scalp.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aloe vera gel,coconut oil,Distilled water,Essential oil,Lye",,,,,Aloe-Vera-Beard-Soap-1.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-aloe-vera-shampoo-bar
,Coconut Oil and Tea Tree Shampoo Bar,"This coconut oil and tea tree shampoo bar is excellent for treating itchy scalps.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Measure lye and water separately. → Slowly mix lye into water. → Melt coconut oil and olive oil. → Combine oils and lye solution, add tea tree oil, blend until trace. → Pour into molds and cure for 4-6 weeks.","<p>An antibacterial shampoo bar that helps with dandruff.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"coconut oil,Distilled water,Lye,olive oil,Tea tree essential oil",,,,,homemade-coconut-oil-soaps-3.jpg,,,,,,,,,,,,,,,,,,,,,coconut-oil-and-tea-tree-shampoo-bar
